customer,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,emailsclick,avgorder,ordfreq,paperless,refill,doorstep,favday,city
0,0,28/09/2012,11/08/2013,11/08/2013,29,100.0,0.03448275862,0,14.52,0.0,0,0,0,Monday,DEL
1,1,19/12/2010,01/04/2011,19/01/2014,95,92.63157895,0.1052631579,1,83.69,0.181640625,1,1,1,Friday,DEL
2,0,03/10/2010,01/12/2010,06/07/2011,0,0.0,0.0,0,33.58,0.059907834,0,0,0,Wednesday,DEL
3,0,22/10/2010,28/03/2011,28/03/2011,0,0.0,0.0,0,54.96,0.0,0,0,0,Thursday,BOM
4,1,27/11/2010,29/11/2010,28/01/2013,30,90.0,0.1333333333,1,111.91,0.008849558,0,0,0,Monday,BOM
5,1,17/11/2008,12/10/2010,14/01/2014,46,80.43478261,0.152173913,1,175.1,0.141176471,1,1,0,Wednesday,DEL
6,1,24/01/2011,16/05/2011,16/01/2014,60,43.33333333,0.06666666667,0,116.55,0.125,0,1,0,Friday,BOM
7,1,04/12/2009,21/09/2011,16/01/2014,64,28.125,0.15625,1,68.1,0.04009434,1,1,0,Friday,DEL
8,1,18/09/2010,09/11/2010,09/11/2010,45,0.0,0.0,0,46.6,0.0,0,0,0,Wednesday,DEL
9,1,29/12/2010,20/02/2011,10/12/2013,34,94.11764706,0.08823529411999999,1,66.07,0.133789063,1,0,0,Monday,DEL
10,1,22/09/2010,18/11/2010,15/01/2014,48,83.33333333,0.020833333330000002,0,89.04,0.086655113,0,0,1,Friday,DEL
11,1,16/11/2009,09/05/2011,05/01/2014,40,87.5,0.45,1,88.3,0.088477366,0,0,0,Wednesday,DEL
12,1,25/07/2009,15/11/2010,19/01/2014,69,2.898550725,0.02898550725,0,126.81,0.059431525,1,1,1,Monday,DEL
13,1,14/03/2010,01/03/2011,06/10/2013,38,36.84210526,0.23684210530000002,1,116.77,0.078947368,0,0,0,Tuesday,DEL
14,0,11/04/2011,14/04/2011,13/01/2014,16,12.5,0.0,0,59.25,0.129353234,1,1,0,Tuesday,DEL
15,1,08/03/2011,27/03/2011,07/01/2014,45,60.0,0.1555555556,1,49.73,0.044247788,1,1,0,Wednesday,BOM
16,0,02/10/2010,25/01/2011,12/01/2014,13,61.53846154,0.1538461538,1,156.54,0.119113573,1,0,0,Monday,DEL
17,1,30/08/2010,12/03/2012,15/10/2013,48,8.333333333,0.020833333330000002,0,101.06,0.037800687,0,0,0,Monday,DEL
18,1,02/02/2011,10/04/2011,19/01/2014,57,17.54385965,0.0,0,14.02,0.066009852,0,0,0,Monday,BOM
19,1,14/09/2010,03/05/2011,15/01/2014,46,65.2173913,0.08695652173999999,1,79.39,0.069838057,1,0,0,Thursday,DEL
20,0,22/02/2011,02/05/2011,02/05/2011,0,0.0,0.0,0,29.17,0.0,0,0,0,Monday,BOM
21,1,18/12/2010,19/12/2010,18/07/2012,47,2.127659574,0.0,0,79.88,0.006932409,0,0,0,Wednesday,DEL
22,1,12/08/2010,22/08/2012,01/05/2013,47,19.14893617,0.1063829787,1,115.25,0.138888889,1,0,0,Wednesday,DEL
23,0,10/03/2011,24/04/2011,14/11/2012,0,0.0,0.0,0,76.67,0.007017544,0,0,0,Tuesday,DEL
24,0,24/04/2010,20/12/2010,17/11/2011,0,0.0,0.0,0,35.86,0.006024096,0,0,0,Tuesday,DEL
25,1,26/01/2011,13/06/2011,02/08/2011,18,0.0,0.0,0,85.61,0.08,0,0,0,Tuesday,DEL
26,0,17/11/2009,24/11/2009,08/10/2013,0,0.0,0.0,0,75.54,0.007072136,0,0,0,Monday,DEL
27,1,24/07/2010,29/07/2010,28/11/2011,31,100.0,0.09677419355,1,59.67,0.016427105,0,0,0,Thursday,DEL
28,1,24/07/2009,23/05/2010,07/03/2013,46,6.52173913,0.04347826086999999,0,59.11,0.015701668,1,0,0,Friday,BOM
29,1,26/01/2011,28/02/2011,17/12/2013,49,36.73469388,0.2040816327,1,33.87,0.026392962,0,0,0,Monday,BOM
30,1,28/08/2010,17/05/2011,14/06/2011,16,0.0,0.0,0,64.82,0.071428571,0,0,0,Tuesday,DEL
31,1,29/01/2011,19/08/2012,19/08/2012,45,11.11111111,0.0,0,60.94,0.0,0,0,0,Tuesday,BOM
32,1,09/02/2011,20/03/2011,03/11/2011,40,2.5,0.025,0,94.28,0.021929825,0,0,0,Thursday,BOM
33,1,07/03/2011,14/03/2011,11/09/2013,48,12.5,0.020833333330000002,0,103.39,0.013157895,0,0,0,Monday,BOM
34,0,24/04/2009,24/04/2009,24/04/2009,0,0.0,0.0,0,15.64,0.0,0,0,0,Tuesday,DEL
35,1,18/05/2010,02/06/2010,08/03/2012,45,17.77777778,0.02222222222,0,117.97,0.03255814,0,0,0,Thursday,DEL
36,1,13/09/2010,07/11/2011,28/09/2012,47,2.127659574,0.0,0,37.24,0.036809816,0,0,0,Wednesday,DEL
37,1,22/04/2011,28/04/2011,22/01/2012,16,0.0,0.0,0,165.95,0.007434944,0,0,0,Friday,BOM
38,1,20/08/2010,30/08/2010,30/08/2010,45,0.0,0.0,0,74.74,0.0,0,0,0,Friday,BOM
39,0,04/01/2011,13/04/2011,06/10/2013,0,0.0,0.0,0,178.44,0.045203969,0,0,0,Wednesday,DEL
40,0,08/03/2011,08/03/2011,08/03/2011,0,0.0,0.0,0,43.54,0.0,0,0,0,Tuesday,BOM
41,0,20/01/2011,07/04/2011,12/04/2012,0,0.0,0.0,0,103.64,0.016172507,0,0,0,Thursday,BOM
42,0,10/11/2009,10/11/2009,10/11/2009,0,0.0,0.0,0,28.63,0.0,0,0,0,Wednesday,DEL
43,0,20/06/2009,13/07/2009,13/07/2009,0,0.0,0.0,0,21.97,0.0,0,0,0,Thursday,DEL
44,0,26/01/2010,01/02/2010,22/06/2010,0,0.0,0.0,0,87.05,0.021276596,0,0,0,Tuesday,DEL
45,1,26/02/2010,10/04/2010,29/04/2013,48,2.083333333,0.020833333330000002,0,35.73,0.026008969,0,0,0,Tuesday,DEL
46,1,11/11/2009,12/04/2010,03/11/2013,50,10.0,0.04,0,33.38,0.005380477,0,0,0,Monday,DEL
47,1,19/10/2010,19/10/2010,19/10/2010,45,0.0,0.0,0,22.92,0.0,0,0,0,Wednesday,DEL
48,0,04/03/2010,02/03/2011,27/02/2012,0,0.0,0.0,0,125.97,0.035911602,0,0,0,Monday,DEL
49,0,10/02/2011,10/02/2011,24/03/2011,0,0.0,0.0,0,37.01,0.047619048,0,0,0,Friday,DEL
50,0,19/07/2009,22/10/2009,17/11/2009,0,0.0,0.0,0,61.85,0.269230769,0,0,0,Friday,DEL
51,0,03/08/2010,09/08/2010,09/08/2010,0,0.0,0.0,0,101.3,0.0,0,0,0,Wednesday,DEL
52,1,15/04/2010,04/10/2010,18/11/2013,53,3.773584906,0.03773584906,0,151.27,0.094653812,0,0,0,Tuesday,DEL
53,1,23/01/2011,07/02/2011,21/03/2011,18,0.0,0.0,0,58.57,0.166666667,0,0,0,Monday,DEL
54,0,07/09/2010,26/10/2011,26/10/2011,0,0.0,0.0,0,55.9,0.0,0,0,0,Thursday,BOM
55,1,21/06/2010,28/06/2010,27/06/2011,18,0.0,0.0,0,132.31,0.027472527,0,0,0,Monday,DEL
56,1,12/04/2011,17/04/2011,17/04/2011,16,0.0,0.0,0,91.9,0.0,0,0,0,Monday,DEL
57,1,14/05/2009,12/03/2010,12/03/2010,16,0.0,0.0,0,39.16,0.0,0,0,0,Friday,DEL
